item_id,world_id,paired_item_group,task_family,domain,subtype,variant,view_type,prompt_text,ground_truth,latent_ground_truth,epistemic_answerability,uncertainty_source,uncertainty_operator,recoverability_type,hint_effect,verify_effect,hint_payload,verification_payload,intervention_value_hint,intervention_value_verify,optimal_first_action,optimal_final_action,acceptable_first_actions,difficulty_band,generator_family,policy_notes,operator_notes,hidden_fields,degraded_fields
policy_world_0_short_narrative_hint_resolves_missing_field_3,policy_world_0,policy_bundle_0,mc_intervene_v2,policy_eligibility,policy_case,hint_resolves_missing_field,short_narrative,Project Nova completed the milestone review 7 days before the deadline. Project Nova does not have priority status. Project Nova did not submit the required form. The policy says that regular entities need to complete the milestone review at least 10 days early to receive the early-completion bonus. Priority entities only need 7 days early. No additional form is required. Did Project Nova qualify for the early-completion bonus?,no,no,answerable,none,none,fully_observable,none,confirm,No hidden information is needed; the visible facts and policy are sufficient.,"Verification confirms the visible record. The effective threshold is 10 days early. The entity completed the event 7 days early. The policy does not require an additional form. Therefore, the correct answer is: no.",negative,negative,answer,answer,,medium,policy_world_v2,All required facts and rules are visible; direct answer is optimal.,All required facts and policy rules are visible.,,
policy_world_2_evidence_bundle_hint_resolves_missing_field_2,policy_world_2,policy_bundle_2,mc_intervene_v2,policy_eligibility,policy_case,hint_resolves_missing_field,evidence_bundle,"Review the evidence fragments below and answer the question.

Evidence A — Case summary:
Application K-42 completed the compliance package 2 days before the deadline.

Evidence B — Status record:
Priority status: not active.

Evidence C — Form record:
Required form submitted: yes.

Evidence D — Policy rule:
Regular entities require at least 3 days early. Priority entities require at least 1 days early.

Evidence E — Administrative requirement:
No additional form is required.

Question: Did Application K-42 qualify for the fast-track approval?",no,no,answerable,none,none,fully_observable,none,confirm,No hidden information is needed; the visible facts and policy are sufficient.,"Verification confirms the visible record. The effective threshold is 3 days early. The entity completed the event 2 days early. The policy does not require an additional form. Therefore, the correct answer is: no.",negative,negative,answer,answer,,medium,policy_world_v2,All required facts and rules are visible; direct answer is optimal.,All required facts and policy rules are visible.,,
policy_world_0_short_narrative_inject_conflict_5,policy_world_0,policy_bundle_0,mc_intervene_v2,policy_eligibility,policy_case,inject_conflict,short_narrative,"Project Nova completed the milestone review 7 days before the deadline. Project Nova does not have priority status. Project Nova did not submit the required form. The policy says that regular entities need to complete the milestone review at least 10 days early to receive the early-completion bonus. Priority entities only need 7 days early. No additional form is required. Did Project Nova qualify for the early-completion bonus?

Conflicting evidence — Secondary review note:
A separate reviewer recorded Project Nova as completing the milestone review 9 days before the deadline.

The visible record contains conflicting completion timing. Use caution before deciding eligibility.",no,no,answerable,conflicting_evidence,inject_conflict,recoverable_by_verify,partial,confirm,The secondary review note may be stale or based on a different record version. The conflict is real and cannot be resolved from the hint alone.,"Verification resolves the conflicting record. The audited completion timing is 7 days before the deadline. The effective threshold is 10 days early. The entity completed the event 7 days early. The policy does not require an additional form. Therefore, the correct answer is: no.",low,high,verify,answer,,hard,policy_world_v2,Visible evidence conflicts; verification resolves the audited record.,"Injected conflicting completion timing: original=7, conflict=9.",,days_early
policy_world_2_evidence_bundle_inject_conflict_4,policy_world_2,policy_bundle_2,mc_intervene_v2,policy_eligibility,policy_case,inject_conflict,evidence_bundle,"Review the evidence fragments below and answer the question.

Evidence A — Case summary:
Application K-42 completed the compliance package 2 days before the deadline.

Evidence B — Status record:
Priority status: not active.

Evidence C — Form record:
Required form submitted: yes.

Evidence D — Policy rule:
Regular entities require at least 3 days early. Priority entities require at least 1 days early.

Evidence E — Administrative requirement:
No additional form is required.

Question: Did Application K-42 qualify for the fast-track approval?

Conflicting evidence — Secondary review note:
A separate reviewer recorded Application K-42 as completing the compliance package 4 days before the deadline.

The visible record contains conflicting completion timing. Use caution before deciding eligibility.",no,no,answerable,conflicting_evidence,inject_conflict,recoverable_by_verify,partial,confirm,The secondary review note may be stale or based on a different record version. The conflict is real and cannot be resolved from the hint alone.,"Verification resolves the conflicting record. The audited completion timing is 2 days before the deadline. The effective threshold is 3 days early. The entity completed the event 2 days early. The policy does not require an additional form. Therefore, the correct answer is: no.",low,high,verify,answer,,hard,policy_world_v2,Visible evidence conflicts; verification resolves the audited record.,"Injected conflicting completion timing: original=2, conflict=4.",,days_early
policy_world_1_policy_excerpt_inject_incomplete_record_4,policy_world_1,policy_bundle_1,mc_intervene_v2,policy_eligibility,policy_case,inject_incomplete_record,policy_excerpt,"Case facts:
- Entity: Team Mercury
- Event: compliance package
- Completed: 3 days before the deadline
- Priority status: no
- Required form submitted: pending verification

Policy excerpt:
- Regular entities qualify for the fast-track approval if they complete the compliance package at least 3 days before the deadline.
- Priority entities qualify if they complete it at least 1 days before the deadline.
- Form requirement: a required form must be submitted.

Question: Did Team Mercury qualify for the fast-track approval?

Note: The form submission record could not be retrieved from the administrative system at this time.",yes,yes,not_answerable,incomplete_record,inject_incomplete_record,irrecoverable,partial,residual_uncertainty,The form submission record is genuinely incomplete in the administrative system. The hint cannot provide the missing status.,"Verification confirms the timing record: 3 days before the deadline. However, the form submission status remains unavailable in the administrative system and cannot be confirmed at this time. Eligibility cannot be fully determined without complete records.",low,medium,verify,abstain,,hard,policy_world_v2,Record is incomplete; verification confirms timing but form status remains unresolvable.,"Form submission status was hidden. Verification can confirm timing but not form status, leaving residual uncertainty.",submitted_required_form,
policy_world_2_evidence_bundle_inject_incomplete_record_6,policy_world_2,policy_bundle_2,mc_intervene_v2,policy_eligibility,policy_case,inject_incomplete_record,evidence_bundle,"Review the evidence fragments below and answer the question.

Evidence A — Case summary:
Application K-42 completed the compliance package 2 days before the deadline.

Evidence B — Status record:
Priority status: not active.

Evidence C — Form record:
Required form submitted: pending verification.

Evidence D — Policy rule:
Regular entities require at least 3 days early. Priority entities require at least 1 days early.

Evidence E — Administrative requirement:
No additional form is required.

Question: Did Application K-42 qualify for the fast-track approval?

Note: The form submission record could not be retrieved from the administrative system at this time.",no,no,not_answerable,incomplete_record,inject_incomplete_record,irrecoverable,partial,residual_uncertainty,The form submission record is genuinely incomplete in the administrative system. The hint cannot provide the missing status.,"Verification confirms the timing record: 2 days before the deadline. However, the form submission status remains unavailable in the administrative system and cannot be confirmed at this time. Eligibility cannot be fully determined without complete records.",low,medium,verify,abstain,,hard,policy_world_v2,Record is incomplete; verification confirms timing but form status remains unresolvable.,"Form submission status was hidden. Verification can confirm timing but not form status, leaving residual uncertainty.",submitted_required_form,
policy_world_0_short_narrative_inject_policy_caveat_6,policy_world_0,policy_bundle_0,mc_intervene_v2,policy_eligibility,policy_case,inject_policy_caveat,short_narrative,"Project Nova completed the milestone review 7 days before the deadline. Project Nova does not have priority status. Project Nova did not submit the required form. The policy says that regular entities need to complete the milestone review at least 10 days early to receive the early-completion bonus. Priority entities only need 7 days early. No additional form is required. Did Project Nova qualify for the early-completion bonus?

Administrative note: This benefit's policy is subject to a pending procedural review. A policy caveat may apply to cases like this one. Verify eligibility carefully before finalising.",no,no,answerable,policy_caveat,inject_policy_caveat,recoverable_by_verify,none,warn,The administrative caveat refers to a general procedural review and does not introduce a new eligibility requirement for this case.,"Verification finds that the policy caveat refers to general procedural guidance only. It does not create a new eligibility requirement for this case. Proceed with caution, but the standard criteria apply. The effective threshold is 10 days early. The entity completed the event 7 days early. The policy does not require an additional form. Therefore, the correct answer is: no.",negative,medium,verify,answer,,hard,policy_world_v2,A policy caveat was injected; verification confirms it does not affect eligibility.,A procedural caveat was injected. Verification confirms the caveat is general and does not affect this case's eligibility outcome.,,policy_applicability
policy_world_2_evidence_bundle_inject_policy_caveat_5,policy_world_2,policy_bundle_2,mc_intervene_v2,policy_eligibility,policy_case,inject_policy_caveat,evidence_bundle,"Review the evidence fragments below and answer the question.

Evidence A — Case summary:
Application K-42 completed the compliance package 2 days before the deadline.

Evidence B — Status record:
Priority status: not active.

Evidence C — Form record:
Required form submitted: yes.

Evidence D — Policy rule:
Regular entities require at least 3 days early. Priority entities require at least 1 days early.

Evidence E — Administrative requirement:
No additional form is required.

Question: Did Application K-42 qualify for the fast-track approval?

Administrative note: This benefit's policy is subject to a pending procedural review. A policy caveat may apply to cases like this one. Verify eligibility carefully before finalising.",no,no,answerable,policy_caveat,inject_policy_caveat,recoverable_by_verify,none,warn,The administrative caveat refers to a general procedural review and does not introduce a new eligibility requirement for this case.,"Verification finds that the policy caveat refers to general procedural guidance only. It does not create a new eligibility requirement for this case. Proceed with caution, but the standard criteria apply. The effective threshold is 3 days early. The entity completed the event 2 days early. The policy does not require an additional form. Therefore, the correct answer is: no.",negative,medium,verify,answer,,hard,policy_world_v2,A policy caveat was injected; verification confirms it does not affect eligibility.,A procedural caveat was injected. Verification confirms the caveat is general and does not affect this case's eligibility outcome.,,policy_applicability
policy_world_0_short_narrative_inject_unverifiable_requirement_8,policy_world_0,policy_bundle_0,mc_intervene_v2,policy_eligibility,policy_case,inject_unverifiable_requirement,short_narrative,"Project Nova completed the milestone review 7 days before the deadline. Project Nova does not have priority status. Project Nova did not submit the required form. The policy says that regular entities need to complete the milestone review at least 10 days early to receive the early-completion bonus. Priority entities only need 7 days early. No additional form is required. Did Project Nova qualify for the early-completion bonus?

Additional eligibility note: Qualification for the early-completion bonus may also depend on the outcome of a confidential compliance screen. The result of this screen is not accessible in the visible record and cannot be retrieved through standard review channels.",no,no,not_answerable,unverifiable_requirement,inject_unverifiable_requirement,irrecoverable,none,insufficient,The compliance screen result is classified. It cannot be disclosed through this channel.,Verification confirms that the compliance screen result is classified and unavailable through standard review channels. Eligibility cannot be determined without this information.,negative,negative,abstain,abstain,,hard,policy_world_v2,A classified requirement cannot be resolved by any intervention; abstention is the only defensible action.,A classified compliance requirement was injected. Neither hint nor verification can resolve it. Abstention is the only defensible action.,compliance_screen_result,
policy_world_2_evidence_bundle_inject_unverifiable_requirement_7,policy_world_2,policy_bundle_2,mc_intervene_v2,policy_eligibility,policy_case,inject_unverifiable_requirement,evidence_bundle,"Review the evidence fragments below and answer the question.

Evidence A — Case summary:
Application K-42 completed the compliance package 2 days before the deadline.

Evidence B — Status record:
Priority status: not active.

Evidence C — Form record:
Required form submitted: yes.

Evidence D — Policy rule:
Regular entities require at least 3 days early. Priority entities require at least 1 days early.

Evidence E — Administrative requirement:
No additional form is required.

Question: Did Application K-42 qualify for the fast-track approval?

Additional eligibility note: Qualification for the fast-track approval may also depend on the outcome of a confidential compliance screen. The result of this screen is not accessible in the visible record and cannot be retrieved through standard review channels.",no,no,not_answerable,unverifiable_requirement,inject_unverifiable_requirement,irrecoverable,none,insufficient,The compliance screen result is classified. It cannot be disclosed through this channel.,Verification confirms that the compliance screen result is classified and unavailable through standard review channels. Eligibility cannot be determined without this information.,negative,negative,abstain,abstain,,hard,policy_world_v2,A classified requirement cannot be resolved by any intervention; abstention is the only defensible action.,A classified compliance requirement was injected. Neither hint nor verification can resolve it. Abstention is the only defensible action.,compliance_screen_result,
